gene,avg_log2FC,pct.1,pct.2,p_val,p_val_adj,sample,direction
SNHG29,1.055692143,0.971,0.999,0,0,ETO,UP
SRP14,1.011507438,0.975,0.999,0,0,IR,UP
RNASEK,1.008445236,0.942,0.999,0,0,ETO,UP
SUMO2,-1.017213889,0.79,0.999,0,0,ETO,DOWN
NPM1,-1.018368,0.971,0.999,0,0,RS,DOWN
ENO1,-1.025969994,0.792,0.999,0,0,ETO,DOWN
HSPE1,-1.050180812,0.734,0.999,0,0,ETO,DOWN
HSP90AB1,-1.058236629,0.958,0.999,0,0,RS,DOWN
HSPA8,-1.07584661,0.728,0.999,0,0,ETO,DOWN
TPM4,-1.082844175,0.88,0.999,0,0,ETO,DOWN
PPP1R14B,-1.130693963,0.831,0.999,0,0,IR,DOWN
RAC1,-1.195316662,0.677,0.999,0,0,ETO,DOWN
TUBB,-1.289318439,0.874,0.999,0,0,IR,DOWN
HNRNPA2B1,-1.392607189,0.72,0.999,0,0,IR,DOWN
C12orf75,-1.452320412,0.792,0.999,0,0,ETO,DOWN
HNRNPA2B1,-1.557043525,0.631,0.999,0,0,ETO,DOWN
PPP1R14B,-1.575071432,0.766,0.999,0,0,ETO,DOWN
HSP90AB1,-1.643283318,0.809,0.999,0,0,IR,DOWN
TUBB,-1.645387787,0.773,0.999,0,0,ETO,DOWN
HSP90AB1,-1.660666475,0.758,0.999,0,0,ETO,DOWN
TUBA1B,-2.043405869,0.81,0.999,0,0,IR,DOWN
TUBA1B,-2.366792615,0.717,0.999,0,0,ETO,DOWN
MYL9,1.132502747,0.995,0.998,0,0,RS,UP
UBL5,1.053951045,0.933,0.998,0,0,ETO,UP
MYL9,1.029415127,0.972,0.998,0,0,IR,UP
BEX3,1.011983976,0.94,0.998,0,0,IR,UP
JPT1,-1.002833256,0.77,0.998,0,0,IR,DOWN
CDC42,-1.07176118,0.698,0.998,0,0,ETO,DOWN
YWHAZ,-1.192010261,0.686,0.998,0,0,ETO,DOWN
TPM3,-1.241945621,0.715,0.998,0,0,ETO,DOWN
SET,-1.254616759,0.697,0.998,0,0,ETO,DOWN
RANBP1,-1.286806084,0.736,0.998,0,0,IR,DOWN
JPT1,-1.371256447,0.671,0.998,0,0,ETO,DOWN
RANBP1,-1.489423469,0.68,0.998,0,0,ETO,DOWN
SET,-1.507004684,0.721,0.998,0,0,IR,DOWN
H3F3B,-1.772220854,0.644,0.998,0,0,IR,DOWN
H3F3B,-1.866800774,0.535,0.998,0,0,ETO,DOWN
COL1A1,-1.047019964,0.524,0.997,0,0,ETO,DOWN
HSP90B1,-1.068093675,0.628,0.997,0,0,ETO,DOWN
TAGLN2,-1.092718517,0.682,0.997,0,0,ETO,DOWN
BZW1,-1.167756935,0.666,0.997,0,0,IR,DOWN
BZW1,-1.206667435,0.589,0.997,0,0,ETO,DOWN
PTGES3,-1.330038979,0.679,0.997,0,0,IR,DOWN
HMGN2,-1.383882894,0.895,0.997,0,0,RS,DOWN
MARCKS,-1.401996762,0.854,0.997,0,0,RS,DOWN
PTGES3,-1.440355862,0.594,0.997,0,0,ETO,DOWN
NUCKS1,-1.527917864,0.66,0.997,0,0,IR,DOWN
NUCKS1,-1.614569034,0.571,0.997,0,0,ETO,DOWN
TUBA1C,-1.620899446,0.689,0.997,0,0,IR,DOWN
MARCKS,-1.808343199,0.592,0.997,0,0,IR,DOWN
TUBA1C,-1.936804031,0.56,0.997,0,0,ETO,DOWN
STMN1,-1.937147024,0.714,0.997,0,0,IR,DOWN
MARCKS,-2.032764027,0.471,0.997,0,0,ETO,DOWN
HMGN2,-2.116324557,0.661,0.997,0,0,IR,DOWN
HMGN2,-2.240759827,0.632,0.997,0,0,ETO,DOWN
STMN1,-2.66730469,0.57,0.997,0,0,ETO,DOWN
PRDX6,1.269362308,0.971,0.996,0,0,IR,UP
SSR3,-1.033213841,0.709,0.996,0,0,ETO,DOWN
SERBP1,-1.072398548,0.68,0.996,0,0,ETO,DOWN
SERBP1,-1.080964809,0.724,0.996,0,0,IR,DOWN
HNRNPA1,-1.091249541,0.707,0.996,0,0,IR,DOWN
ARPC5,-1.097882865,0.611,0.996,0,0,ETO,DOWN
SMS,-1.116907282,0.658,0.996,0,0,ETO,DOWN
SSR2,-1.125259028,0.669,0.996,0,0,IR,DOWN
SSR2,-1.178050075,0.616,0.996,0,0,ETO,DOWN
SNRPB,-1.248253342,0.627,0.996,0,0,IR,DOWN
EIF1AX,-1.268866497,0.684,0.996,0,0,IR,DOWN
TNFRSF12A,-1.293212781,0.643,0.996,0,0,IR,DOWN
HSPD1,-1.323344366,0.657,0.996,0,0,ETO,DOWN
EIF1AX,-1.343259214,0.625,0.996,0,0,ETO,DOWN
HSPD1,-1.4199615,0.695,0.996,0,0,IR,DOWN
SNRPB,-1.474953088,0.51,0.996,0,0,ETO,DOWN
TUBB4B,-1.584184909,0.65,0.996,0,0,IR,DOWN
TNFRSF12A,-1.894207186,0.453,0.996,0,0,ETO,DOWN
TUBB4B,-1.911450386,0.514,0.996,0,0,ETO,DOWN
ATP6V0E1,1.128760594,0.927,0.995,0,0,IR,UP
SNRPE,-1.016293673,0.667,0.995,0,0,IR,DOWN
HNRNPK,-1.058021308,0.579,0.995,0,0,ETO,DOWN
HNRNPC,-1.068843875,0.703,0.995,0,0,IR,DOWN
SNRPE,-1.117848955,0.61,0.995,0,0,ETO,DOWN
HNRNPC,-1.121266658,0.64,0.995,0,0,ETO,DOWN
NCL,-1.250166132,0.708,0.995,0,0,ETO,DOWN
RPL22L1,-1.316855123,0.654,0.995,0,0,IR,DOWN
RPL22L1,-1.355103132,0.629,0.995,0,0,ETO,DOWN
NCL,-1.450748223,0.701,0.995,0,0,IR,DOWN
PSMA4,-1.124083958,0.625,0.994,0,0,IR,DOWN
PSMA4,-1.140444553,0.548,0.994,0,0,ETO,DOWN
SRSF3,-1.495503733,0.602,0.994,0,0,IR,DOWN
SRSF3,-1.744118572,0.475,0.994,0,0,ETO,DOWN
TOMM7,1.223506867,0.93,0.993,0,0,ETO,UP
COL6A3,-1.012743826,0.616,0.993,0,0,IR,DOWN
COL6A3,-1.18969738,0.49,0.993,0,0,ETO,DOWN
AHNAK,-1.238311944,0.585,0.993,0,0,ETO,DOWN
CCND1,2.234026824,0.953,0.992,0,0,ETO,UP
CCND1,2.090056199,0.963,0.992,0,0,IR,UP
UQCR11,1.317704649,0.921,0.992,0,0,ETO,UP
UQCR11,1.197644163,0.906,0.992,0,0,IR,UP
MORF4L2,-1.007562499,0.526,0.992,0,0,ETO,DOWN
RBM8A,-1.123235717,0.514,0.992,0,0,ETO,DOWN
ACTR3,-1.117684099,0.565,0.991,0,0,ETO,DOWN
SNRPD1,-1.240927382,0.586,0.991,0,0,IR,DOWN
SNRPD1,-1.413447143,0.491,0.991,0,0,ETO,DOWN
FKBP1A,1.390130004,0.985,0.99,0,0,RS,UP
FKBP1A,1.327289577,0.927,0.99,0,0,ETO,UP
FKBP1A,1.160251526,0.911,0.99,0,0,IR,UP
CCT6A,-1.127961057,0.608,0.99,0,0,IR,DOWN
MTDH,-1.149429476,0.455,0.99,0,0,ETO,DOWN
CCT6A,-1.195792125,0.535,0.99,0,0,ETO,DOWN
NQO1,-1.009367899,0.884,0.989,0,0,RS,DOWN
CBX3,-1.063189634,0.616,0.989,0,0,IR,DOWN
CBX3,-1.141478307,0.542,0.989,0,0,ETO,DOWN
H2AFV,-1.274659926,0.602,0.989,0,0,IR,DOWN
H2AFV,-1.44741729,0.515,0.989,0,0,ETO,DOWN
UBE2S,-1.690346903,0.651,0.989,0,0,IR,DOWN
UBE2S,-2.190345179,0.522,0.989,0,0,ETO,DOWN
RABAC1,1.180858236,0.906,0.988,0,0,IR,UP
RABAC1,1.01906793,0.897,0.988,0,0,ETO,UP
PCBP1,-1.010194074,0.498,0.988,0,0,ETO,DOWN
HNRNPDL,-1.297467579,0.568,0.988,0,0,IR,DOWN
HNRNPDL,-1.382399817,0.489,0.988,0,0,ETO,DOWN
CCT5,-1.078588746,0.607,0.987,0,0,IR,DOWN
CCT5,-1.159869097,0.535,0.987,0,0,ETO,DOWN
LSM5,-1.204555503,0.606,0.987,0,0,IR,DOWN
XRCC5,-1.252489787,0.541,0.987,0,0,ETO,DOWN
KPNB1,-1.305471215,0.581,0.987,0,0,IR,DOWN
LSM5,-1.323517628,0.543,0.987,0,0,ETO,DOWN
XRCC5,-1.343702337,0.579,0.987,0,0,IR,DOWN
KPNB1,-1.488670654,0.486,0.987,0,0,ETO,DOWN
HNRNPAB,-1.728058003,0.516,0.987,0,0,IR,DOWN
HNRNPAB,-1.827692288,0.435,0.987,0,0,ETO,DOWN
IGFBP7,1.710169809,0.953,0.986,0,0,RS,UP
UBE2E3,-1.084504609,0.562,0.986,0,0,ETO,DOWN
HNRNPU,-1.423642053,0.496,0.986,0,0,ETO,DOWN
HNRNPU,-1.447734447,0.57,0.986,0,0,IR,DOWN
RBM3,-1.127257998,0.551,0.985,0,0,ETO,DOWN
PA2G4,-1.236409254,0.556,0.985,0,0,IR,DOWN
PA2G4,-1.282571664,0.484,0.985,0,0,ETO,DOWN
SRSF2,-1.179312738,0.563,0.984,0,0,IR,DOWN
SRSF2,-1.380234042,0.473,0.984,0,0,ETO,DOWN
ATP5IF1,1.143451018,0.906,0.982,0,0,IR,UP
ATP5IF1,1.082924564,0.882,0.982,0,0,ETO,UP
EIF5,-1.00821624,0.581,0.982,0,0,IR,DOWN
HNRNPH1,-1.398778585,0.598,0.982,0,0,IR,DOWN
HNRNPH1,-1.617751617,0.508,0.982,0,0,ETO,DOWN
UCHL1,1.221851055,0.945,0.981,0,0,ETO,UP
UCHL1,1.126239107,0.952,0.981,0,0,IR,UP
MSN,-1.025050513,0.555,0.981,0,0,ETO,DOWN
CCT2,-1.044826614,0.595,0.981,0,0,IR,DOWN
TUBB6,-1.093295348,0.495,0.981,0,0,ETO,DOWN
CCT2,-1.1545351,0.503,0.981,0,0,ETO,DOWN
SRSF7,-1.244640195,0.506,0.981,0,0,IR,DOWN
SRSF7,-1.477253108,0.398,0.981,0,0,ETO,DOWN
CST3,1.71150518,0.861,0.98,0,0,ETO,UP
CST3,1.511912638,0.851,0.98,0,0,IR,UP
CST3,1.396505267,0.936,0.98,0,0,RS,UP
ILF2,-1.051437482,0.57,0.979,0,0,IR,DOWN
AXL,-1.199026304,0.534,0.979,0,0,IR,DOWN
AXL,-1.484845706,0.42,0.979,0,0,ETO,DOWN
HNRNPR,-1.513199683,0.479,0.979,0,0,IR,DOWN
HNRNPR,-1.609897671,0.412,0.979,0,0,ETO,DOWN
PRRC2C,-1.006375256,0.528,0.977,0,0,IR,DOWN
PRRC2C,-1.062907433,0.459,0.977,0,0,ETO,DOWN
SFPQ,-1.455231901,0.493,0.977,0,0,IR,DOWN
HNRNPD,-1.531004381,0.463,0.977,0,0,IR,DOWN
SFPQ,-1.578845536,0.417,0.977,0,0,ETO,DOWN
HNRNPD,-1.588662239,0.396,0.977,0,0,ETO,DOWN
DEK,-1.765307997,0.491,0.977,0,0,IR,DOWN
DEK,-1.791430714,0.429,0.977,0,0,ETO,DOWN
SERPINH1,-1.036919173,0.519,0.976,0,0,IR,DOWN
SERPINH1,-1.17802405,0.398,0.976,0,0,ETO,DOWN
KHDRBS1,-1.389786137,0.502,0.975,0,0,IR,DOWN
KHDRBS1,-1.429637485,0.434,0.975,0,0,ETO,DOWN
CRIM1,-1.004235809,0.473,0.974,0,0,ETO,DOWN
YWHAH,-1.209850447,0.478,0.974,0,0,ETO,DOWN
ID3,-2.080345623,0.407,0.97,0,0,IR,DOWN
ID3,-2.291353744,0.29,0.97,0,0,ETO,DOWN
MDK,-1.077733916,0.749,0.968,0,0,RS,DOWN
PRKDC,-1.253465131,0.456,0.968,0,0,ETO,DOWN
PRKDC,-1.283480214,0.503,0.968,0,0,IR,DOWN
PRDX5,1.258041373,0.894,0.966,0,0,ETO,UP
PRDX5,1.105072614,0.889,0.966,0,0,IR,UP
FST,-1.152927427,0.687,0.965,0,0,IR,DOWN
FST,-1.714413916,0.58,0.965,0,0,ETO,DOWN
SYNCRIP,-1.016997603,0.45,0.964,0,0,ETO,DOWN
HNRNPM,-1.017121793,0.5,0.962,0,0,IR,DOWN
GSPT1,-1.001125049,0.467,0.96,0,0,ETO,DOWN
DUT,-1.057219939,0.567,0.958,0,0,IR,DOWN
DUT,-1.117040882,0.508,0.958,0,0,ETO,DOWN
DTYMK,-1.217077336,0.502,0.958,0,0,IR,DOWN
DTYMK,-1.354683172,0.419,0.958,0,0,ETO,DOWN
COL4A2,-1.272656698,0.408,0.957,0,0,ETO,DOWN
GAS6,1.915201148,0.916,0.955,0,0,IR,UP
SELENOM,1.498171601,0.919,0.955,0,0,ETO,UP
SELENOM,1.441481569,0.929,0.955,0,0,IR,UP
GAS6,1.116501754,0.947,0.955,0,0,RS,UP
THBS1,-1.068995269,0.424,0.953,0,0,ETO,DOWN
ALYREF,-1.02305929,0.468,0.951,0,0,IR,DOWN
ALYREF,-1.129782028,0.4,0.951,0,0,ETO,DOWN
EBNA1BP2,-1.016206731,0.406,0.948,0,0,ETO,DOWN
PLP2,-1.031643829,0.45,0.948,0,0,ETO,DOWN
CACYBP,-1.032209986,0.423,0.947,0,0,ETO,DOWN
CKS2,-1.091576323,0.776,0.947,0,0,RS,DOWN
FABP5,-1.270884261,0.564,0.947,0,0,RS,DOWN
FABP5,-1.302455105,0.395,0.947,0,0,IR,DOWN
FGF5,-1.436118766,0.484,0.947,0,0,IR,DOWN
FABP5,-1.487115032,0.295,0.947,0,0,ETO,DOWN
FGF5,-1.899700359,0.316,0.947,0,0,ETO,DOWN
CKS2,-2.350742238,0.443,0.947,0,0,IR,DOWN
CKS2,-2.557161181,0.371,0.947,0,0,ETO,DOWN
DKK3,1.010663002,0.917,0.945,0,0,RS,UP
SELENOW,1.031567831,0.839,0.944,0,0,IR,UP
G3BP1,-1.087981546,0.468,0.944,0,0,IR,DOWN
FUS,-1.116102103,0.426,0.944,0,0,IR,DOWN
G3BP1,-1.144310587,0.409,0.944,0,0,ETO,DOWN
FUS,-1.19579334,0.383,0.944,0,0,ETO,DOWN
IGFBP4,1.807089467,0.854,0.938,0,0,ETO,UP
IGFBP4,1.6076519,0.879,0.938,0,0,IR,UP
NR2F2,-1.028866906,0.476,0.936,0,0,IR,DOWN
NR2F2,-1.244224676,0.384,0.936,0,0,ETO,DOWN
ID1,-2.202494742,0.278,0.935,0,0,IR,DOWN
ID1,-2.324908419,0.181,0.935,0,0,ETO,DOWN
CBX5,-1.169209445,0.424,0.932,0,0,IR,DOWN
CBX5,-1.201066578,0.368,0.932,0,0,ETO,DOWN
DDX21,-1.039285764,0.374,0.929,0,0,ETO,DOWN
PTN,-1.179756189,0.334,0.926,0,0,ETO,DOWN
PTN,-1.317719152,0.309,0.926,0,0,IR,DOWN
CKS1B,-1.644741956,0.392,0.926,0,0,IR,DOWN
CKS1B,-1.932284363,0.335,0.926,0,0,ETO,DOWN
ANP32E,-1.246376866,0.333,0.925,0,0,ETO,DOWN
ANP32E,-1.251410816,0.373,0.925,0,0,IR,DOWN
RAD21,-1.398173113,0.389,0.924,0,0,IR,DOWN
RAD21,-1.418903079,0.355,0.924,0,0,ETO,DOWN
PTTG1,-1.004410553,0.667,0.923,0,0,RS,DOWN
PTTG1,-1.89643915,0.304,0.923,0,0,IR,DOWN
PTTG1,-2.307932885,0.186,0.923,0,0,ETO,DOWN
IFITM3,1.768892431,0.908,0.922,0,0,ETO,UP
IFITM3,1.28423254,0.86,0.922,0,0,IR,UP
PCLAF,-1.840571878,0.125,0.922,0,0,IR,DOWN
PCLAF,-2.280380832,0.037,0.922,0,0,ETO,DOWN
RAB13,2.784264509,0.883,0.92,0,0,ETO,UP
KPNA2,-1.735294691,0.387,0.92,0,0,IR,DOWN
KPNA2,-1.844766313,0.329,0.92,0,0,ETO,DOWN
BUB3,-1.162122236,0.463,0.919,0,0,IR,DOWN
BUB3,-1.281383725,0.381,0.919,0,0,ETO,DOWN
PAICS,-1.016448407,0.356,0.918,0,0,ETO,DOWN
XPO1,-1.025629907,0.365,0.918,0,0,ETO,DOWN
PAICS,-1.042571537,0.381,0.918,0,0,IR,DOWN
NDUFA1,1.179795735,0.848,0.915,0,0,ETO,UP
NDUFA1,1.012127636,0.82,0.915,0,0,IR,UP
NASP,-1.369193937,0.294,0.915,0,0,ETO,DOWN
NASP,-1.392922587,0.272,0.915,0,0,IR,DOWN
FOXD1,-1.076053963,0.361,0.913,0,0,ETO,DOWN
DNMT1,-1.237870711,0.34,0.91,0,0,IR,DOWN
DNMT1,-1.289422142,0.294,0.91,0,0,ETO,DOWN
PLAUR,-1.089522035,0.361,0.902,0,0,ETO,DOWN
CENPW,-1.478555889,0.178,0.899,0,0,IR,DOWN
CENPW,-1.559068229,0.124,0.899,0,0,ETO,DOWN
EZR,-1.140423289,0.306,0.895,0,0,ETO,DOWN
S100A4,-1.019742516,0.523,0.889,0,0,ETO,DOWN
ARL6IP1,-1.772608134,0.437,0.886,0,0,IR,DOWN
ARL6IP1,-1.822870616,0.364,0.886,0,0,ETO,DOWN
MAP1LC3B,1.12502761,0.827,0.878,0,0,IR,UP
MAP1LC3B,1.113355717,0.823,0.878,0,0,ETO,UP
TYMS,-1.08846204,0.293,0.876,0,0,IR,DOWN
TYMS,-1.227434457,0.318,0.876,0,0,ETO,DOWN
MFGE8,1.819415041,0.795,0.874,0,0,IR,UP
MFGE8,1.565099481,0.926,0.874,0,0,RS,UP
BIRC5,-1.464685701,0.082,0.872,0,0,IR,DOWN
BIRC5,-1.667420782,0.015,0.872,0,0,ETO,DOWN
TK1,-1.08132176,0.125,0.869,0,0,IR,DOWN
TK1,-1.340905237,0.028,0.869,0,0,ETO,DOWN
VAMP5,1.39341661,0.847,0.868,0,0,IR,UP
VAMP5,1.167364271,0.813,0.868,0,0,ETO,UP
SSRP1,-1.006429199,0.296,0.868,0,0,ETO,DOWN
SMC4,-1.61195065,0.18,0.867,0,0,IR,DOWN
SMC4,-1.632709915,0.178,0.867,0,0,ETO,DOWN
COL4A1,-1.083224922,0.373,0.861,0,0,ETO,DOWN
PHF19,-1.02646064,0.344,0.859,0,0,IR,DOWN
PHF19,-1.128010267,0.28,0.859,0,0,ETO,DOWN
FOSL1,-1.125670077,0.299,0.855,0,0,ETO,DOWN
H1FX,-1.019504415,0.379,0.853,0,0,IR,DOWN
H1FX,-1.055174896,0.322,0.853,0,0,ETO,DOWN
C9orf16,1.107740144,0.789,0.85,0,0,IR,UP
C9orf16,1.101749654,0.779,0.85,0,0,ETO,UP
TMPO,-1.453755679,0.153,0.849,0,0,IR,DOWN
TMPO,-1.484180133,0.142,0.849,0,0,ETO,DOWN
RRM1,-1.043909139,0.292,0.846,0,0,IR,DOWN
RRM1,-1.078121188,0.273,0.846,0,0,ETO,DOWN
RRM2,-1.565795813,0.072,0.844,0,0,IR,DOWN
RRM2,-1.726224859,0.017,0.844,0,0,ETO,DOWN
MAD2L1,-1.473891801,0.093,0.838,0,0,IR,DOWN
MAD2L1,-1.548244716,0.066,0.838,0,0,ETO,DOWN
IFI27L2,1.198699135,0.814,0.836,0,0,ETO,UP
IFI27L2,1.176993081,0.815,0.836,0,0,IR,UP
TGFBI,1.499631444,0.913,0.835,0,0,RS,UP
HMGB2,-1.13803826,0.524,0.833,0,0,RS,DOWN
HMGB2,-2.123948025,0.266,0.833,0,0,IR,DOWN
HMGB2,-2.171901743,0.247,0.833,0,0,ETO,DOWN
H2AFJ,1.048319263,0.806,0.829,0,0,IR,UP
H2AFX,-1.068350721,0.338,0.829,0,0,IR,DOWN
H2AFX,-1.14326775,0.265,0.829,0,0,ETO,DOWN
CDKN3,-1.278866717,0.122,0.829,0,0,IR,DOWN
CDKN3,-1.365264121,0.075,0.829,0,0,ETO,DOWN
PRC1,-1.609359047,0.059,0.829,0,0,IR,DOWN
PRC1,-1.667364693,0.025,0.829,0,0,ETO,DOWN
SACS,-1.00102857,0.29,0.825,0,0,ETO,DOWN
CCNB1,-1.205484713,0.469,0.821,0,0,RS,DOWN
CCNB1,-2.011822757,0.119,0.821,0,0,IR,DOWN
CCNB1,-2.067145135,0.093,0.821,0,0,ETO,DOWN
QSOX1,2.042115829,0.746,0.82,0,0,IR,UP
ANLN,-1.633587846,0.078,0.82,0,0,IR,DOWN
ANLN,-1.693983834,0.035,0.82,0,0,ETO,DOWN
SMC2,-1.082867291,0.206,0.818,0,0,ETO,DOWN
SMC2,-1.090922568,0.211,0.818,0,0,IR,DOWN
CENPF,-1.141108273,0.433,0.815,0,0,RS,DOWN
TPX2,-1.750908013,0.102,0.815,0,0,IR,DOWN
TPX2,-1.801280576,0.063,0.815,0,0,ETO,DOWN
CENPF,-1.999102815,0.06,0.815,0,0,IR,DOWN
CENPF,-2.034641225,0.038,0.815,0,0,ETO,DOWN
TMEM158,1.022761774,0.917,0.814,0,0,RS,UP
LMO4,-1.010631379,0.338,0.805,0,0,ETO,DOWN
NCEH1,-1.016132356,0.292,0.802,0,0,IR,DOWN
NCEH1,-1.068587652,0.228,0.802,0,0,ETO,DOWN
UBE2T,-1.181092172,0.17,0.799,0,0,IR,DOWN
UBE2T,-1.20735016,0.146,0.799,0,0,ETO,DOWN
MMP2,1.018996383,0.877,0.798,0,0,RS,UP
MCM7,-1.063420361,0.151,0.792,0,0,IR,DOWN
MCM7,-1.100343973,0.146,0.792,0,0,ETO,DOWN
